icon,datetime,temp,windspeed,preciptype,description
rain,2018-08-03,25.1,27.2,rain,Cloudy skies throughout the day with rain.
rain,2018-08-04,26.5,17.6,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2018-08-05,27.3,17.3,--,Becoming cloudy in the afternoon.
rain,2018-08-06,27.3,19.6,rain,Becoming cloudy in the afternoon with rain.
rain,2018-08-07,27.1,16.1,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2018-08-08,28.5,17.8,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-08-09,28.5,21.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-10,28.5,17.8,--,Becoming cloudy in the afternoon.
rain,2018-08-11,27.7,19.8,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2018-08-12,25.5,17.5,rain,Partly cloudy throughout the day with rain.
rain,2018-08-13,25.3,28.1,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2018-08-14,25.2,24.9,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2018-08-15,27.6,21.4,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-08-16,27.5,20.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-17,28.6,22.4,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-18,27.8,19.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-19,25.7,25.8,--,Partly cloudy throughout the day.
rain,2018-08-20,24.2,19.2,rain,Cloudy skies throughout the day with rain clearing later.
rain,2018-08-21,25,27.4,rain,Cloudy skies throughout the day with rain.
rain,2018-08-22,25.6,17.1,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2018-08-23,22.7,27.2,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2018-08-24,23.3,17,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-25,23.3,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-26,25.1,23.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-27,27.9,15.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-28,29.1,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-29,29.6,21.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2018-08-30,29.5,18.2,--,Partly cloudy throughout the day.
rain,2018-08-31,28.2,24.3,rain,Partly cloudy throughout the day with rain.
